White,Black,Result,Round,Date,Opening,View,Unnamed: 0,Name,Name.1,ELO,Points
"Shlyakhtenko, R","Guo, A",½-½,6,"Sep 27, 2020","B23 Sicilian, closed",,,,,,
"Shen, C","Lu, M",1-0,6,"Sep 27, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Yan, R","Hong, A",½-½,6,"Sep 27, 2020","B84 Sicilian, Scheveningen (Paulsen), classical variation",,,,,,
"Hong, A","Shen, C",0-1,7,"Sep 27, 2020","C19 French, Winawer, advance, 6...Ne7",,,,,,
"Yan, R","Shlyakhtenko, R",0-1,7,"Sep 27, 2020","C16 French, Winawer, advance variation",,,,,,
"Lu, M","Yoo, C",½-½,7,"Sep 27, 2020",A16 English opening,,,,,,
"Wang, J","Guo, A",1-0,7,"Sep 27, 2020","B90 Sicilian, Najdorf",,,,,,
,,,,,,,,,"GM Bogosavljevic, Boban",2493.0,10.5
,,,,,,,,,"GM Predke, Alexandr",2684.0,9.0
,,,,,,,,,"GM Milanovic, Danilo",2455.0,8.5
,,,,,,,,,"GM Ivic, Velimir",2548.0,8.0
,,,,,,,,,"GM Damljanovic, Branko",2502.0,8.0
,,,,,,,,,"GM Ivanisevic, Ivan",2604.0,7.5
,,,,,,,,,"GM Markus, Robert",2589.0,7.5
,,,,,,,,,"IM Nenezic, Marko",2528.0,7.5
,,,,,,,,,"GM Draskovic, Luka",2472.0,7.5
,,,,,,,,,"GM Nestorovic, Nikola",2470.0,7.5
,,,,,,,,,"IM Cabarkapa, Novak",2453.0,7.5
,,,,,,,,,"GM Lazic, Miroljub",2414.0,7.5
,,,,,,,,,"GM Rakhmanov, Aleksandr",2645.0,7.0
,,,,,,,,,"GM Kovacevic, Aleksandar",2474.0,7.0
,,,,,,,,,"IM Ratkovic, Milovan",2421.0,7.0
,,,,,,,,,"GM Ilincic, Zlatko",2408.0,7.0
,,,,,,,,,"GM Malakhov, Vladimir",2669.0,6.5
,,,,,,,,,"GM Sedlak, Nikola",2549.0,6.5
,,,,,,,,,"GM Atalik, Suat",2509.0,6.5
,,,,,,,,,"GM Stojanovic, Mihajlo",2492.0,6.5
,,,,,,,,,Show full players list,,
"Zegarac, V","Toth, A",1-0,3.5,"Sep 27, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Predke, A","Sanal, V",1-0,3.6,"Sep 27, 2020","A48 King's Indian, East Indian defence",,,,,,
"Markus, R","Indjic, A",½-½,3.6,"Sep 27, 2020",D02 Queen's pawn game,,,,,,
"Damjanovic, V","Kovacevic, A",½-½,3.6,"Sep 27, 2020",A01 Nimzovich-Larsen attack,,,,,,
"Popovic, M","Stojanovic, M",½-½,3.6,"Sep 27, 2020",D02 Queen's pawn game,,,,,,
"Milosevic, M","Leskur, D",1-0,3.6,"Sep 27, 2020","B23 Sicilian, closed",,,,,,
"Omorjan, D","Ilincic, Z",½-½,3.6,"Sep 27, 2020",A17 English opening,,,,,,
"Meshkovs, N","Sanal, V",½-½,4.1,"Sep 27, 2020","E90 King's Indian, 5.Nf3",,,,,,
"Markus, R","Atalik, S",1-0,4.1,"Sep 27, 2020","E04 Catalan, open, 5.Nf3",,,,,,
"Pap, M","Kovacevic, A",0-1,4.1,"Sep 27, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Popovic, M","Arsovic, G",½-½,4.1,"Sep 27, 2020","B90 Sicilian, Najdorf",,,,,,
"Drazic, S","Leskur, D",1-0,4.1,"Sep 27, 2020",A40 Queen's pawn,,,,,,
"Omorjan, D","Arsovic, Z",0-1,4.1,"Sep 27, 2020","B23 Sicilian, closed",,,,,,
"Kadric, D","Predke, A",½-½,4.2,"Sep 27, 2020","C47 Four knights, Scotch variation",,,,,,
"Indjic, A","Sedlak, N",0-1,4.2,"Sep 27, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Popovic, D","Damjanovic, V",½-½,4.2,"Sep 27, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Stojanovic, M","Cabarkapa, N",1-0,4.2,"Sep 27, 2020","D87 Gruenfeld, exchange, Spassky variation",,,,,,
"Strikovic, A","Milosevic, M",1-0,4.2,"Sep 27, 2020",B10 Caro-Kann defence,,,,,,
"Ilincic, Z","Zegarac, V",½-½,4.2,"Sep 27, 2020","A64 Benoni, fianchetto, 11...Re8",,,,,,
"Bernadskiy, V","Budisavljevic, L",½-½,4.3,"Sep 27, 2020","D78 Neo-Gruenfeld, 6.O-O c6",,,,,,
"Roganovic, M","Ratkovic, M",½-½,4.3,"Sep 27, 2020",D02 Queen's pawn game,,,,,,
"Ratkovic, M","Draskovic, L",½-½,4.3,"Sep 27, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Pezelj, N","Dimic, P",½-½,4.3,"Sep 27, 2020",D00 Queen's pawn game,,,,,,
"Besedes, D","Mijailovic, Z",½-½,4.3,"Sep 27, 2020","E86 King's Indian, Saemisch, orthodox, 7.Nge2 c6",,,,,,
"Toth, A","Popov, S",½-½,4.3,"Sep 27, 2020",C55 Two knights defence,,,,,,
"Ivanisevic, I","Benkovic, P",1-0,4.4,"Sep 27, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Djokic, M","Kosic, D",0-1,4.4,"Sep 27, 2020",C11 French defence,,,,,,
"Miljkovic, M","Matovic, M",½-½,4.4,"Sep 27, 2020","E15 Queen's Indian, 4.g3",,,,,,
"Brankovic, V","Lazic, M",0-1,4.4,"Sep 27, 2020","C48 Four knights, Spanish variation",,,,,,
"Laketic, G","Radisavljevic, D",1-0,4.4,"Sep 27, 2020",A43 Old Benoni defence,,,,,,
"Matejic, Z","Kosanovic, G",½-½,4.4,"Sep 27, 2020",D02 Queen's pawn game,,,,,,
"Tadic, S","Predojevic, B",½-½,4.5,"Sep 27, 2020","C02 French, advance variation",,,,,,
"Ivic, V","Klasan, V",1-0,4.5,"Sep 27, 2020",B33 Sicilian defence,,,,,,
"Vlatkovic, S","Nenezic, M",½-½,4.5,"Sep 27, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Radovanovic, M","Grcic, V",1-0,4.5,"Sep 27, 2020","A08 Reti, King's Indian attack",,,,,,
"Cecaric, M","Zajic, M",0-1,4.5,"Sep 27, 2020",B06 Robatsch (modern) defence,,,,,,
"Bogosavljevic, B","Gavric, Z",1-0,4.5,"Sep 27, 2020","D73 Neo-Gruenfeld, 5.Nf3",,,,,,
"Malakhov, V","Rakhmanov, A",½-½,4.6,"Sep 27, 2020",A06 Reti opening,,,,,,
"Perunovic, M","Abramovic, B",½-½,4.6,"Sep 27, 2020",C45 Scotch game,,,,,,
"Velickovic, S","Damljanovic, B",0-1,4.6,"Sep 27, 2020","B23 Sicilian, closed",,,,,,
"Tadic, B","Masic, P",½-½,4.6,"Sep 27, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Ristic, L","Nestorovic, N",0-1,4.6,"Sep 27, 2020","B23 Sicilian, closed",,,,,,
"Milanovic, D","Vujacic, B",1-0,4.6,"Sep 27, 2020",A45 Queen's pawn game,,,,,,
"Rakhmanov, A","Meshkovs, N",½-½,5.1,"Sep 28, 2020","D78 Neo-Gruenfeld, 6.O-O c6",,,,,,
"Atalik, S","Perunovic, M",½-½,5.1,"Sep 28, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Damljanovic, B","Pap, M",½-½,5.1,"Sep 28, 2020","A88 Dutch, Leningrad, main variation with c6",,,,,,
"Arsovic, G","Tadic, B",½-½,5.1,"Sep 28, 2020","A39 English, symmetrical, main line with d4",,,,,,
"Nestorovic, N","Drazic, S",1-0,5.1,"Sep 28, 2020",B03 Alekhine's defence,,,,,,
"Arsovic, Z","Milanovic, D",0-1,5.1,"Sep 28, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Predojevic, B","Malakhov, V",½-½,5.2,"Sep 28, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Djuric, S","Ivic, V",0-1,5.2,"Sep 28, 2020","A27 English, three knights system",,,,,,
"Nenezic, M","Abramovic, B",0-1,5.2,"Sep 28, 2020","D31 Queen's Gambit Declined, 3.Nc3",,,,,,
"Govedarica, R","Vuckovic, B",0-1,5.2,"Sep 28, 2020","B67 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7",,,,,,
"Zajic, M","Masic, P",1-0,5.2,"Sep 28, 2020",B10 Caro-Kann defence,,,,,,
"Ristic, L","Bogosavljevic, B",0-1,5.2,"Sep 28, 2020","B23 Sicilian, closed",,,,,,
"Benkovic, P","Tadic, S",½-½,5.3,"Sep 28, 2020","D34 Queen's Gambit Declined, Tarrasch, Prague variation, 7...Be7",,,,,,
"Klasan, V","Djokic, M",1-0,5.3,"Sep 28, 2020",B50 Sicilian,,,,,,
"Matovic, M","Stamenkovic, A",½-½,5.3,"Sep 28, 2020",B01 Scandinavian (centre counter) defence,,,,,,
"Grcic, V","Brankovic, V",1-0,5.3,"Sep 28, 2020","C10 French, Paulsen variation",,,,,,
"Radisavljevic, D","Muskinja, L",1-0,5.3,"Sep 28, 2020","B74 Sicilian, dragon, classical, 9.Nb3",,,,,,
"Gavric, Z","Matejic, Z",1-0,5.3,"Sep 28, 2020","B23 Sicilian, closed",,,,,,
"Budisavljevic, L","Ivanisevic, I",0-1,5.4,"Sep 28, 2020",A46 Queen's pawn game,,,,,,
"Kosic, D","Roganovic, M",1-0,5.4,"Sep 28, 2020","A48 King's Indian, East Indian defence",,,,,,
"Draskovic, L","Miljkovic, M",½-½,5.4,"Sep 28, 2020",B33 Sicilian defence,,,,,,
"Lazic, M","Pezelj, N",1-0,5.4,"Sep 28, 2020",B07 Pirc defence,,,,,,
"Mijailovic, Z","Laketic, G",0-1,5.4,"Sep 28, 2020",A57 Benko gambit,,,,,,
"Kosanovic, G","Toth, A",½-½,5.4,"Sep 28, 2020","D59 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) system, 8.cd Nxd5",,,,,,
"Predke, A","Bernadskiy, V",1-0,5.5,"Sep 28, 2020",A43 Old Benoni defence,,,,,,
"Ratkovic, M","Indjic, A",0-1,5.5,"Sep 28, 2020",A21 English opening,,,,,,
"Damjanovic, V","Ratkovic, M",½-½,5.5,"Sep 28, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Dimic, P","Stojanovic, M",½-½,5.5,"Sep 28, 2020",A05 Reti opening,,,,,,
"Milosevic, M","Besedes, D",0-1,5.5,"Sep 28, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Bodiroga, P","Ilincic, Z",0-1,5.5,"Sep 28, 2020","E46 Nimzo-Indian, 4.e3 O-O",,,,,,
"Sanal, V","Kadric, D",½-½,5.6,"Sep 28, 2020",B00 King's pawn opening,,,,,,
"Sedlak, N","Markus, R",½-½,5.6,"Sep 28, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Kovacevic, A","Popovic, D",½-½,5.6,"Sep 28, 2020","E71 King's Indian, Makagonov system (5.h3)",,,,,,
"Cabarkapa, N","Popovic, M",½-½,5.6,"Sep 28, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Leskur, D","Strikovic, A",½-½,5.6,"Sep 28, 2020","A48 King's Indian, East Indian defence",,,,,,
"Lukovic, V","Omorjan, D",½-½,5.6,"Sep 28, 2020",B15 Caro-Kann defence,,,,,,
"Meshkovs, N","Kadric, D",0-1,6.1,"Sep 29, 2020",A41 Queen's Pawn,,,,,,
"Sedlak, N","Atalik, S",0-1,6.1,"Sep 29, 2020",D02 Queen's pawn game,,,,,,
"Pap, M","Popovic, D",½-½,6.1,"Sep 29, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Cabarkapa, N","Arsovic, G",1-0,6.1,"Sep 29, 2020","E71 King's Indian, Makagonov system (5.h3)",,,,,,
"Saric, S","Strikovic, A",½-½,6.1,"Sep 29, 2020","E92 King's Indian, classical variation",,,,,,
"Zegarac, V","Drazic, S",1-0,6.1,"Sep 29, 2020",E00 Queen's pawn game,,,,,,
"Bernadskiy, V","Sanal, V",½-½,6.2,"Sep 29, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Markus, R","Ratkovic, M",½-½,6.2,"Sep 29, 2020","D46 Queen's Gambit Declined semi-Slav, 6.Bd3",,,,,,
"Ratkovic, M","Kovacevic, A",½-½,6.2,"Sep 29, 2020","E46 Nimzo-Indian, 4.e3 O-O",,,,,,
"Popovic, M","Dimic, P",½-½,6.2,"Sep 29, 2020",D02 Queen's pawn game,,,,,,
"Besedes, D","Leskur, D",½-½,6.2,"Sep 29, 2020","B08 Pirc, classical (two knights) system",,,,,,
"Omorjan, D","Popov, S",½-½,6.2,"Sep 29, 2020","C49 Four knights, double Ruy Lopez",,,,,,
"Rublevsky, S","Predke, A",½-½,6.3,"Sep 29, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
"Indjic, A","Ivanisevic, I",1-0,6.3,"Sep 29, 2020",A46 Queen's pawn game,,,,,,
"Miljkovic, M","Damjanovic, V",½-½,6.3,"Sep 29, 2020",A41 Queen's Pawn,,,,,,
"Stojanovic, M","Lazic, M",1-0,6.3,"Sep 29, 2020",A41 Queen's Pawn,,,,,,
"Laketic, G","Milosevic, M",0-1,6.3,"Sep 29, 2020","B38 Sicilian, accelerated fianchetto, Maroczy bind, 6.Be3",,,,,,
"Ilincic, Z","Tesic, D",1-0,6.3,"Sep 29, 2020",E60 King's Indian defence,,,,,,
"Tadic, S","Roganovic, M",1-0,6.4,"Sep 29, 2020",B30 Sicilian defence,,,,,,
"Draskovic, L","Klasan, V",1-0,6.4,"Sep 29, 2020","A36 English, symmetrical variation",,,,,,
"Stamenkovic, A","Pezelj, N",0-1,6.4,"Sep 29, 2020",A41 Queen's Pawn,,,,,,
"Mijailovic, Z","Grcic, V",½-½,6.4,"Sep 29, 2020","D34 Queen's Gambit Declined, Tarrasch, Prague variation, 7...Be7",,,,,,
"Cecaric, M","Toth, A",½-½,6.4,"Sep 29, 2020",C55 Two knights defence,,,,,,
"Jevdjovic, M","Gavric, Z",½-½,6.4,"Sep 29, 2020",B15 Caro-Kann defence,,,,,,
"Malakhov, V","Benkovic, P",1-0,6.5,"Sep 29, 2020","B41 Sicilian, Kan variation",,,,,,
"Djokic, M","Djuric, S",0-1,6.5,"Sep 29, 2020","C49 Four knights, double Ruy Lopez",,,,,,
"Abramovic, B","Matovic, M",0-1,6.5,"Sep 29, 2020","E68 King's Indian, fianchetto, classical variation, 8.e4",,,,,,
"Brankovic, V","Velickovic, S",½-½,6.5,"Sep 29, 2020","B52 Sicilian, Canal-Sokolsky attack, 3...Bd7",,,,,,
"Masic, P","Radisavljevic, D",½-½,6.5,"Sep 29, 2020","A38 English, symmetrical variation",,,,,,
"Matejic, Z","Vujacic, B",0-1,6.5,"Sep 29, 2020","A48 King's Indian, East Indian defence",,,,,,
"Rakhmanov, A","Predojevic, B",1-0,6.6,"Sep 29, 2020",A20 English opening,,,,,,
"Ivic, V","Perunovic, M",1-0,6.6,"Sep 29, 2020","B48 Sicilian, Taimanov variation",,,,,,
"Damljanovic, B","Nenezic, M",½-½,6.6,"Sep 29, 2020","E92 King's Indian, classical variation",,,,,,
"Vuckovic, B","Tadic, B",1-0,6.6,"Sep 29, 2020",C41 Philidor's defence,,,,,,
"Nestorovic, N","Zajic, M",½-½,6.6,"Sep 29, 2020",B00 King's pawn opening,,,,,,
"Bogosavljevic, B","Milanovic, D",1-0,6.6,"Sep 29, 2020","A35 English, symmetrical variation",,,,,,
"Predojevic, B","Meshkovs, N",½-½,7.1,"Sep 29, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Atalik, S","Ivic, V",½-½,7.1,"Sep 29, 2020","D41 Queen's Gambit Declined, Semi-Tarrasch, 5.cd",,,,,,
"Nenezic, M","Pap, M",1-0,7.1,"Sep 29, 2020",A04 Reti opening,,,,,,
"Saric, S","Vuckovic, B",1-0,7.1,"Sep 29, 2020","D85 Gruenfeld, exchange variation",,,,,,
"Radovanovic, M","Drazic, S",1-0,7.1,"Sep 29, 2020","A30 English, symmetrical variation",,,,,,
"Arsovic, Z","Bogosavljevic, B",0-1,7.1,"Sep 29, 2020","A14 English, Neo-Catalan declined",,,,,,
"Benkovic, P","Rakhmanov, A",½-½,7.2,"Sep 29, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Perunovic, M","Djokic, M",1-0,7.2,"Sep 29, 2020","B23 Sicilian, closed",,,,,,
"Matovic, M","Damljanovic, B",0-1,7.2,"Sep 29, 2020","B43 Sicilian, Kan, 5.Nc3",,,,,,
"Tadic, B","Brankovic, V",1-0,7.2,"Sep 29, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Radisavljevic, D","Nestorovic, N",0-1,7.2,"Sep 29, 2020",B32 Sicilian defence,,,,,,
"Milanovic, D","Matejic, Z",1-0,7.2,"Sep 29, 2020",A43 Old Benoni defence,,,,,,
"Budisavljevic, L","Malakhov, V",½-½,7.3,"Sep 29, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Djuric, S","Roganovic, M",½-½,7.3,"Sep 29, 2020","D92 Gruenfeld, 5.Bf4",,,,,,
"Draskovic, L","Abramovic, B",1-0,7.3,"Sep 29, 2020",C45 Scotch game,,,,,,
"Govedarica, R","Pezelj, N",0-1,7.3,"Sep 29, 2020",B06 Robatsch (modern) defence,,,,,,
"Mijailovic, Z","Velickovic, S",1-0,7.3,"Sep 29, 2020",A04 Reti opening,,,,,,
"Vujacic, B","Toth, A",½-½,7.3,"Sep 29, 2020",C53 Giuoco Piano,,,,,,
"Predke, A","Tadic, S",1-0,7.4,"Sep 29, 2020",D30 Queen's gambit declined,,,,,,
"Klasan, V","Indjic, A",0-1,7.4,"Sep 29, 2020",B06 Robatsch (modern) defence,,,,,,
"Damjanovic, V","Grcic, V",1-0,7.4,"Sep 29, 2020","D34 Queen's Gambit Declined, Tarrasch, Prague variation, 7...Be7",,,,,,
"Muskinja, L","Stojanovic, M",0-1,7.4,"Sep 29, 2020",A06 Reti opening,,,,,,
"Milosevic, M","Zobenica, I",1-0,7.4,"Sep 29, 2020",B00 King's pawn opening,,,,,,
"Gavric, Z","Ilincic, Z",0-1,7.4,"Sep 29, 2020","B24 Sicilian, closed",,,,,,
"Sanal, V","Ivanisevic, I",½-½,7.5,"Sep 29, 2020","B47 Sicilian, Taimanov (Bastrikov) variation",,,,,,
"Kosic, D","Markus, R",½-½,7.5,"Sep 29, 2020","E94 King's Indian, orthodox variation",,,,,,
"Kovacevic, A","Miljkovic, M",1-0,7.5,"Sep 29, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Lazic, M","Popovic, M",½-½,7.5,"Sep 29, 2020",B10 Caro-Kann defence,,,,,,
"Leskur, D","Laketic, G",½-½,7.5,"Sep 29, 2020",B00 King's pawn opening,,,,,,
"Tesic, D","Omorjan, D",0-1,7.5,"Sep 29, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Kadric, D","Bernadskiy, V",0-1,7.6,"Sep 29, 2020",C44 King's pawn game,,,,,,
"Ratkovic, M","Sedlak, N",1-0,7.6,"Sep 29, 2020","A48 King's Indian, East Indian defence",,,,,,
"Popovic, D","Ratkovic, M",0-1,7.6,"Sep 29, 2020","B60 Sicilian, Richter-Rauzer",,,,,,
"Dimic, P","Cabarkapa, N",0-1,7.6,"Sep 29, 2020",E60 King's Indian defence,,,,,,
"Strikovic, A","Besedes, D",1-0,7.6,"Sep 29, 2020","B11 Caro-Kann, two knights, 3...Bg4",,,,,,
"Popov, S","Lukovic, V",½-½,7.6,"Sep 29, 2020",C45 Scotch game,,,,,,
"Meshkovs, N","Bernadskiy, V",½-½,8.1,"Sep 30, 2020",A04 Reti opening,,,,,,
"Ratkovic, M","Atalik, S",½-½,8.1,"Sep 30, 2020",D02 Queen's pawn game,,,,,,
"Pap, M","Ratkovic, M",½-½,8.1,"Sep 30, 2020","B18 Caro-Kann, classical variation",,,,,,
"Dimic, P","Arsovic, G",½-½,8.1,"Sep 30, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Saric, S","Besedes, D",½-½,8.1,"Sep 30, 2020",A40 Queen's pawn,,,,,,
"Popov, S","Arsovic, Z",½-½,8.1,"Sep 30, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Rublevsky, S","Kadric, D",½-½,8.2,"Sep 30, 2020",B07 Pirc defence,,,,,,
"Sedlak, N","Ivanisevic, I",½-½,8.2,"Sep 30, 2020","B23 Sicilian, closed",,,,,,
"Miljkovic, M","Popovic, D",½-½,8.2,"Sep 30, 2020","A48 King's Indian, East Indian defence",,,,,,
"Cabarkapa, N","Lazic, M",0-1,8.2,"Sep 30, 2020",D00 Queen's pawn game,,,,,,
"Laketic, G","Strikovic, A",1-0,8.2,"Sep 30, 2020","B43 Sicilian, Kan, 5.Nc3",,,,,,
"Zegarac, V","Kosanovic, G",0-1,8.2,"Sep 30, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Tadic, S","Sanal, V",1-0,8.3,"Sep 30, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Markus, R","Klasan, V",1-0,8.3,"Sep 30, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Stamenkovic, A","Kovacevic, A",½-½,8.3,"Sep 30, 2020",A46 Queen's pawn game,,,,,,
"Popovic, M","Grcic, V",1-0,8.3,"Sep 30, 2020","B23 Sicilian, closed",,,,,,
"Muskinja, L","Leskur, D",½-½,8.3,"Sep 30, 2020",A04 Reti opening,,,,,,
"Omorjan, D","Gavric, Z",½-½,8.3,"Sep 30, 2020","D15 Queen's Gambit Declined Slav, 4.Nc3",,,,,,
"Malakhov, V","Predke, A",½-½,8.4,"Sep 30, 2020",A05 Reti opening,,,,,,
"Indjic, A","Djuric, S",½-½,8.4,"Sep 30, 2020",D52 Queen's Gambit Declined,,,,,,
"Abramovic, B","Damjanovic, V",½-½,8.4,"Sep 30, 2020",A21 English opening,,,,,,
"Stojanovic, M","Govedarica, R",1-0,8.4,"Sep 30, 2020","E42 Nimzo-Indian, 4.e3 c5, 5.Ne2 (Rubinstein)",,,,,,
"Masic, P","Milosevic, M",½-½,8.4,"Sep 30, 2020",A04 Reti opening,,,,,,
"Ilincic, Z","Vujacic, B",1-0,8.4,"Sep 30, 2020",E60 King's Indian defence,,,,,,
"Rakhmanov, A","Budisavljevic, L",1-0,8.5,"Sep 30, 2020",A13 English opening,,,,,,
"Roganovic, M","Perunovic, M",½-½,8.5,"Sep 30, 2020","B47 Sicilian, Taimanov (Bastrikov) variation",,,,,,
"Damljanovic, B","Draskovic, L",½-½,8.5,"Sep 30, 2020",A04 Reti opening,,,,,,
"Pezelj, N","Tadic, B",½-½,8.5,"Sep 30, 2020",C41 Philidor's defence,,,,,,
"Nestorovic, N","Mijailovic, Z",1-0,8.5,"Sep 30, 2020","C18 French, Winawer, advance variation",,,,,,
"Toth, A","Milanovic, D",½-½,8.5,"Sep 30, 2020",B30 Sicilian defence,,,,,,
"Predojevic, B","Benkovic, P",½-½,8.6,"Sep 30, 2020","B68 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 9...Be7",,,,,,
"Djokic, M","Ivic, V",0-1,8.6,"Sep 30, 2020","B92 Sicilian, Najdorf, Opovcensky variation",,,,,,
"Nenezic, M","Matovic, M",1-0,8.6,"Sep 30, 2020","E73 King's Indian, 5.Be2",,,,,,
"Brankovic, V","Radovanovic, M",0-1,8.6,"Sep 30, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Zajic, M","Radisavljevic, D",½-½,8.6,"Sep 30, 2020",B20 Sicilian defence,,,,,,
"Matejic, Z","Bogosavljevic, B",0-1,8.6,"Sep 30, 2020","D77 Neo-Gruenfeld, 6.O-O",,,,,,
"Benkovic, P","Meshkovs, N",0-1,9.1,"Oct 01, 2020",D02 Queen's pawn game,,,,,,
"Atalik, S","Djokic, M",0-1,9.1,"Oct 01, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Matovic, M","Pap, M",½-½,9.1,"Oct 01, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
"Arsovic, G","Brankovic, V",½-½,9.1,"Oct 01, 2020",E11 Bogo-Indian defence,,,,,,
"Radisavljevic, D","Saric, S",1-0,9.1,"Oct 01, 2020",B01 Scandinavian (centre counter) defence,,,,,,
"Arsovic, Z","Matejic, Z",1-0,9.1,"Oct 01, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Budisavljevic, L","Predojevic, B",½-½,9.2,"Oct 01, 2020","B23 Sicilian, closed",,,,,,
"Ivic, V","Roganovic, M",½-½,9.2,"Oct 01, 2020","C88 Ruy Lopez, closed",,,,,,
"Draskovic, L","Nenezic, M",½-½,9.2,"Oct 01, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Vuckovic, B","Pezelj, N",1-0,9.2,"Oct 01, 2020","B48 Sicilian, Taimanov variation",,,,,,
"Toth, A","Radovanovic, M",½-½,9.2,"Oct 01, 2020",C00 French defence,,,,,,
"Bogosavljevic, B","Rajkovic, M",½-½,9.2,"Oct 01, 2020","D85 Gruenfeld, exchange variation",,,,,,
"Predke, A","Rakhmanov, A",1-0,9.3,"Oct 01, 2020","B23 Sicilian, closed",,,,,,
"Perunovic, M","Indjic, A",½-½,9.3,"Oct 01, 2020",C42 Petrov's defence,,,,,,
"Damjanovic, V","Damljanovic, B",0-1,9.3,"Oct 01, 2020","A49 King's Indian, fianchetto without c4",,,,,,
"Tadic, B","Stojanovic, M",1-0,9.3,"Oct 01, 2020",A05 Reti opening,,,,,,
"Milosevic, M","Nestorovic, N",½-½,9.3,"Oct 01, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Milanovic, D","Ilincic, Z",1-0,9.3,"Oct 01, 2020","E43 Nimzo-Indian, Fischer variation",,,,,,
"Sanal, V","Malakhov, V",½-½,9.4,"Oct 01, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Djuric, S","Markus, R",0-1,9.4,"Oct 01, 2020","E95 King's Indian, orthodox, 7...Nbd7, 8.Re1",,,,,,
"Kovacevic, A","Abramovic, B",1-0,9.4,"Oct 01, 2020","C76 Ruy Lopez, modern Steinitz defence, fianchetto (Bronstein) variation",,,,,,
"Velickovic, S","Popovic, M",1-0,9.4,"Oct 01, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Leskur, D","Masic, P",½-½,9.4,"Oct 01, 2020",B00 King's pawn opening,,,,,,
"Ristic, L","Omorjan, D",1-0,9.4,"Oct 01, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Kadric, D","Tadic, S",1-0,9.5,"Oct 01, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Klasan, V","Sedlak, N",0-1,9.5,"Oct 01, 2020",C00 French defence,,,,,,
"Popovic, D","Stamenkovic, A",½-½,9.5,"Oct 01, 2020",A46 Queen's pawn game,,,,,,
"Grcic, V","Cabarkapa, N",0-1,9.5,"Oct 01, 2020",C00 French defence,,,,,,
"Lukovic, V","Muskinja, L",1-0,9.5,"Oct 01, 2020",B27 Sicilian defence,,,,,,
"Cecaric, M","Zegarac, V",0-1,9.5,"Oct 01, 2020",B10 Caro-Kann defence,,,,,,
"Bernadskiy, V","Rublevsky, S",0-1,9.6,"Oct 01, 2020",C00 French defence,,,,,,
"Ivanisevic, I","Ratkovic, M",1-0,9.6,"Oct 01, 2020","D31 Queen's Gambit Declined, 3.Nc3",,,,,,
